                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.70196,                0.47786,                0.83629,                0.95089,                0.96285,                0.99005,                0.83352,                 0.6249,                0.32858,                0.81583,               0.007822,               0.007822,               0.007822
                     69,                 0.6969,                0.46869,                0.83517,                0.96204,                0.97398,                0.99062,                0.83253,                 0.6197,                0.32275,                0.81543,               0.007789,               0.007789,               0.007789
                     70,                0.68983,                0.45545,                0.83576,                0.95342,                0.97714,                0.99104,                0.83544,                0.61364,                0.31998,                0.81442,               0.007756,               0.007756,               0.007756
                     71,                0.69384,                0.45871,                0.83411,                0.94594,                0.97785,                0.99124,                0.83783,                0.61255,                 0.3173,                0.81337,               0.007723,               0.007723,               0.007723
                     72,                0.68898,                0.46003,                0.83553,                0.92875,                0.98712,                0.99113,                0.83819,                0.61411,                0.31858,                0.81391,                0.00769,                0.00769,                0.00769
                     73,                0.68409,                0.45802,                0.83336,                0.96086,                0.98278,                0.99166,                0.83568,                 0.6108,                0.31767,                 0.8139,               0.007657,               0.007657,               0.007657
                     74,                0.68332,                0.45388,                0.83362,                0.95673,                0.98429,                0.99122,                0.83747,                 0.6085,                0.31646,                0.81275,               0.007624,               0.007624,               0.007624
                     75,                0.68166,                0.45108,                0.83328,                0.97049,                0.97578,                0.99104,                0.83513,                0.60522,                0.31218,                0.81237,               0.007591,               0.007591,               0.007591
                     76,                0.68817,                0.44783,                0.83547,                0.97512,                0.97373,                0.99134,                0.83774,                0.60203,                0.31116,                0.81137,               0.007558,               0.007558,               0.007558
                     77,                 0.6819,                0.44376,                0.83416,                0.96464,                0.98218,                0.99104,                0.83335,                0.60466,                 0.3116,                0.81162,               0.007525,               0.007525,               0.007525
                     78,                0.67741,                0.44823,                0.83294,                0.97559,                0.97578,                0.99082,                0.83619,                0.60342,                0.31211,                0.81158,               0.007492,               0.007492,               0.007492
                     79,                0.67449,                0.43475,                0.83285,                0.96993,                0.97481,                0.99167,                0.83863,                0.59764,                 0.3085,                0.81116,               0.007459,               0.007459,               0.007459
                     80,                0.68839,                0.44824,                0.83371,                0.97059,                0.97678,                0.99175,                0.84033,                0.59611,                0.30618,                0.81098,               0.007426,               0.007426,               0.007426
